time,Branch1:pressure,Branch1:rho,Branch1:temperature,Branch1:velocity,Branch2:pressure,Branch2:rho,Branch2:temperature,Branch2:velocity,reactor:power
87,259294.0426277,865.51026802104,628.1500000001,3.2500000000005,160322.18325621,829.84741237192,783.54802894852,3.3896712653618,250000000
88,259294.20766258,865.51026802107,628.14999999996,3.2499999999957,160322.31234039,829.8439503433,783.56300245313,3.3896848310591,250000000
89,259294.36329897,865.51026802103,628.15000000015,3.2499999999977,160322.43352843,829.84069724057,783.57707231983,3.3896975799801,250000000
90,259294.50972806,865.51026802104,628.1500000001,3.2500000000013,160322.54702628,829.83764771731,783.59026167576,3.3897095329357,250000000
91,259294.64715209,865.51026802108,628.14999999992,3.2500000000018,160322.65304481,829.83479629252,783.60259422992,3.3897207113038,250000000
92,259294.77578313,865.51026802107,628.14999999997,3.2499999999991,160322.75179924,829.83213736681,783.61409420285,3.3897311368749,250000000
93,259294.8958428,865.51026802107,628.14999999996,3.2500000000003,160322.84350836,829.82966523848,783.62478625737,3.3897408319146,250000000
94,259295.00756022,865.51026802106,628.15000000004,3.2499999999985,160322.92839427,829.82737411842,783.63469543415,3.3897498189683,250000000
95,259295.11117198,865.51026802102,628.15000000018,3.25,160323.00668166,829.82525814604,783.64384708252,3.3897581208046,250000000
96,259295.20692076,865.51026802106,628.15000000004,3.2500000000005,160323.07859623,829.82331140415,783.65226679653,3.3897657607968,250000000
97,259295.29505452,865.51026802107,628.14999999999,3.2500000000001,160323.14436683,829.82152793317,783.65998035327,3.3897727618253,250000000
98,259295.37582586,865.51026802106,628.15000000002,3.2500000000012,160323.20422129,829.81990174572,783.66701364988,3.3897791475882,250000000
99,259295.44949072,865.51026802105,628.15000000007,3.25,160323.25838959,829.81842683977,783.67339264653,3.3897849412034,250000000
100,259295.51630803,865.51026802107,628.14999999998,3.25,160323.30710001,829.81709721253,783.67914330666,3.3897901663175,250000000
